sub category 1	sub category 2	sub category 3	sub category 4	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
				ID	AL rdfs:label@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
colony				BSM:0030001	colony				NCIT:C61515	"Two or more conspecific individuals living in close association with, or connected to, one another."		To add to ENVO perhaps as SC to animal habitation. Or perhaps PCO?					http://bcodmo/sm#biology	http://bcodmo/sm#ecology
colony	coral reef			ENVO:00000150	coral reef	colony	corals										http://bcodmo/sm#biology	http://bcodmo/sm#ecology
colony	coral reef	coral bleaching		ENVO:01000852	coral bleaching	coral reef											http://bcodmo/sm#biology	http://bcodmo/sm#ecology
colony	chain			BSM:0030002	chain	colony			NCIT:C41207	Two or more conspecific individuals connected together in a linear fashion.		Perhaps something to add to ENVO or PCO.					http://bcodmo/sm#biology	http://bcodmo/sm#ecology
population				PCO:0000001	population												http://bcodmo/sm#biology	http://bcodmo/sm#ecology
population	coverage			BSM:0030003	coverage	population				"How much surface of a plot/surface/location that an organism (or group of organsims) covers; cover is a method of determining relative abundance of a plant or sessile animal based on the amount of space they occupy within a plot of substrate. In this method, rather than counting the number of individuals, each species is assigned a percent cover based on a visual estimate of how much of the sample plot they occupy"							http://bcodmo/sm#biology	http://bcodmo/sm#ecology
population	capture			PCO:0000000	capture	population			ENVO:01000975	Organisms that have been captured or caught.							http://bcodmo/sm#biology	http://bcodmo/sm#ecology
population	capture	catch per unit effort		BSM:0030004	catch per unit effort	capture				Catch per unit effort (fisheries term). Indirect measure of abundance for a target species.		This could be furthur broken down and clarified. Perhaps a more specific term for collection of fish. TBD in OBO.					http://bcodmo/sm#biology	http://bcodmo/sm#ecology
community				PCO:0000002	community												http://bcodmo/sm#biology	http://bcodmo/sm#ecology
community	diversity			PCO:0000019	diversity	community											http://bcodmo/sm#biology	http://bcodmo/sm#ecology
community	diversity	Shannon diversity index		PCO:0000062	Shannon diversity index	diversity											http://bcodmo/sm#biology	http://bcodmo/sm#ecology
community	diversity	Simpson diversity index		PCO:0000063	Simpson diversity index	diversity											http://bcodmo/sm#biology	http://bcodmo/sm#ecology
